menu_id,path,evaluated_references,screening_status,behavior_tested,approved_for_generation
M032,ATA 22 - AutoFlight → Rudder trim → Channel 2,27-22-01 [K] F037,см. оценку каждого соответствия,False,False
M033,ATA 22 - AutoFlight → Reactive W/S det → Channel 1,22-66-03 [U] F024,см. оценку каждого соответствия,False,False
M034,ATA 22 - AutoFlight → Reactive W/S det → Channel 2,22-66-03 [U] F024,см. оценку каждого соответствия,False,False
M035,ATA 22 - AutoFlight → Law override → Alternate Law With Protection,,соответствие FAA MMEL пока не установлено,False,False
M036,ATA 22 - AutoFlight → Law override → Alternate Law Without Protection,,соответствие FAA MMEL пока не установлено,False,False
M037,ATA 22 - AutoFlight → Law override → Direct Law,,соответствие FAA MMEL пока не установлено,False,False
M038,ATA 22 - AutoFlight → FCU → Channel 1,22-81-01 [K] F025,см. оценку каждого соответствия,False,False
M039,ATA 22 - AutoFlight → FCU → Channel 2,22-81-01 [K] F025,см. оценку каждого соответствия,False,False
M040,ATA 22 - AutoFlight → A/THR → 1,22-30-01 [U] F020,см. оценку каждого соответствия,False,False
M041,ATA 22 - AutoFlight → A/THR → 2,22-30-01 [U] F020,см. оценку каждого соответствия,False,False
M042,ATA 22 - AutoFlight → AP → 1,22-10-01 [K] F019,см. оценку каждого соответствия,False,False
M043,ATA 22 - AutoFlight → AP → 2,22-10-01 [K] F019,см. оценку каждого соответствия,False,False
M044,ATA 24 - Electrical power → DC Bus Fault → Dc Bat Bus,,соответствие FAA MMEL пока не установлено,False,False
M045,ATA 24 - Electrical power → DC Bus Fault → Dc Bus 1,,соответствие FAA MMEL пока не установлено,False,False
M046,ATA 24 - Electrical power → DC Bus Fault → Dc Bus 2,,соответствие FAA MMEL пока не установлено,False,False
M047,ATA 24 - Electrical power → DC Bus Fault → Hot Bus 1,,соответствие FAA MMEL пока не установлено,False,False
M048,ATA 24 - Electrical power → DC Bus Fault → Hot Bus 2,,соответствие FAA MMEL пока не установлено,False,False
M049,ATA 24 - Electrical power → DC Bus Fault → Dc Essential Bus,,соответствие FAA MMEL пока не установлено,False,False
M050,ATA 24 - Electrical power → DC Bus Fault → Dc Essential Shed Bus,,соответствие FAA MMEL пока не установлено,False,False
M051,ATA 24 - Electrical power → AC Bus Fault → Ac Bus 1,,соответствие FAA MMEL пока не установлено,False,False
M052,ATA 24 - Electrical power → AC Bus Fault → Ac Bus 2,,соответствие FAA MMEL пока не установлено,False,False
M053,ATA 24 - Electrical power → AC Bus Fault → Ac Essential Bus,,соответствие FAA MMEL пока не установлено,False,False
M054,ATA 24 - Electrical power → AC Bus Fault → Ac Essential Shed Bus,,соответствие FAA MMEL пока не установлено,False,False
M055,ATA 24 - Electrical power → AC Bus Fault → Ac Static Inverter Bus,,соответствие FAA MMEL пока не установлено,False,False
M056,ATA 24 - Electrical power → AC 26v Bus Fault → Ac Bus 1 26v,,соответствие FAA MMEL пока не установлено,False,False
M057,ATA 24 - Electrical power → AC 26v Bus Fault → Ac Bus 2 26v,,соответствие FAA MMEL пока не установлено,False,False
M058,ATA 24 - Electrical power → AC 26v Bus Fault → Ac Ess Bus 26v,,соответствие FAA MMEL пока не установлено,False,False
M059,ATA 24 - Electrical power → Generator → Apu,24-20-02 [K] F030,см. оценку каждого соответствия,False,False
M060,ATA 24 - Electrical power → Generator → 1,24-20-01 [K] F029,см. оценку каждого соответствия,False,False
M061,ATA 24 - Electrical power → Generator → 2,24-20-01 [K] F029,см. оценку каждого соответствия,False,False
M062,ATA 24 - Electrical power → IDG oil ovht → Idg 1 Oil Overheat,,соответствие FAA MMEL пока не установлено,False,False
M063,ATA 24 - Electrical power → IDG oil ovht → Idg 2 Oil Overheat,,соответствие FAA MMEL пока не установлено,False,False
M064,ATA 24 - Electrical power → IDG oil low pressure → Idg 1 Oil Low Pressure,,соответствие FAA MMEL пока не установлено,False,False
M065,ATA 24 - Electrical power → IDG oil low pressure → Idg 2 Oil Low Pressure,,соответствие FAA MMEL пока не установлено,False,False
M066,ATA 24 - Electrical power → Static inverter,,соответствие FAA MMEL пока не установлено,False,False
M067,ATA 24 - Electrical power → TR Failure → Tr 1,24-30-01 [K] F031,см. оценку каждого соответствия,False,False
M068,ATA 24 - Electrical power → TR Failure → Tr 2,24-30-01 [U] F032,см. оценку каждого соответствия,False,False
M069,ATA 24 - Electrical power → TR Failure → Ess,24-30-01 [X] F033,см. оценку каждого соответствия,False,False
M070,ATA 24 - Electrical power → AC Ess Bus Altn,,соответствие FAA MMEL пока не установлено,False,False
M071,ATA 24 - Electrical power → AC Ess feed → From Ac Bus 1,,соответствие FAA MMEL пока не установлено,False,False
M072,ATA 24 - Electrical power → AC Ess feed → From Ac Bus 2,,соответствие FAA MMEL пока не установлено,False,False
M073,ATA 26 - Fire protection → SDCU,26-17-02 [U] F036,см. оценку каждого соответствия,False,False
M074,ATA 26 - Fire protection → Fwd cargo smoke detected,,соответствие FAA MMEL пока не установлено,False,False
M075,ATA 26 - Fire protection → Aft cargo smoke detected,,соответствие FAA MMEL пока не установлено,False,False
M076,ATA 26 - Fire protection → Lavatory smoke,,соответствие FAA MMEL пока не установлено,False,False
M077,ATA 26 - Fire protection → Fire unextinguishable → Eng 1 Unextinguishable Fire,,соответствие FAA MMEL пока не установлено,False,False
M078,ATA 26 - Fire protection → Fire unextinguishable → Eng 2 Unextinguishable Fire,,соответствие FAA MMEL пока не установлено,False,False
M079,ATA 26 - Fire protection → Fire unextinguishable → Apu Unextinguishable Fire,,соответствие FAA MMEL пока не установлено,False,False
M080,ATA 26 - Fire protection → Fire 1 bottle → Eng 1 Fire Extinguished With 1 Bottle,,соответствие FAA MMEL пока не установлено,False,False
M081,ATA 26 - Fire protection → Fire 1 bottle → Eng 2 Fire Extinguished With 1 Bottle,,соответствие FAA MMEL пока не установлено,False,False
M082,ATA 26 - Fire protection → Fire 1 bottle → Apu Fire Extinguished With 1 Bottle,,соответствие FAA MMEL пока не установлено,False,False
M083,ATA 26 - Fire protection → Fire 2 bottles → Eng 1 Fire Extinguished With 2 Bottles,,соответствие FAA MMEL пока не установлено,False,False
M084,ATA 26 - Fire protection → Fire 2 bottles → Eng 2 Fire Extinguished With 2 Bottles,,соответствие FAA MMEL пока не установлено,False,False
M085,ATA 26 - Fire protection → Loop Eng 1 → Eng 1 Loop A,26-12-01 [K] F034,см. оценку каждого соответствия,False,False
M086,ATA 26 - Fire protection → Loop Eng 1 → Eng 1 Loop B,26-12-01 [K] F034,см. оценку каждого соответствия,False,False
M087,ATA 26 - Fire protection → Loop Eng 2 → Eng 2 Loop A,26-12-01 [K] F034,см. оценку каждого соответствия,False,False
M088,ATA 26 - Fire protection → Loop Eng 2 → Eng 2 Loop B,26-12-01 [K] F034,см. оценку каждого соответствия,False,False
M089,ATA 26 - Fire protection → Loop APU → Apu Loop A,26-13-01 [K] F035,см. оценку каждого соответствия,False,False
M090,ATA 26 - Fire protection → Loop APU → Apu Loop B,26-13-01 [K] F035,см. оценку каждого соответствия,False,False
M091,ATA 26 - Fire protection → FDU → 1,,соответствие FAA MMEL пока не установлено,False,False
M092,ATA 26 - Fire protection → FDU → 2,,соответствие FAA MMEL пока не установлено,False,False
M093,ATA 26 - Fire protection → FDU → 3,,соответствие FAA MMEL пока не установлено,False,False
M094,ATA 26 - Fire protection → Avionics smoke detected,,соответствие FAA MMEL пока не установлено,False,False
M095,ATA 28 - Fuel → FQI → Chan 1,28-40-02 [K] F051,см. оценку каждого соответствия,False,False
M096,ATA 28 - Fuel → FQI → Chan 2,28-40-02 [K] F051,см. оценку каждого соответствия,False,False
M097,ATA 28 - Fuel → Fuel pump left → 1,28-21-01 [K] F047,см. оценку каждого соответствия,False,False
M098,ATA 28 - Fuel → Fuel pump left → 2,28-21-01 [K] F047,см. оценку каждого соответствия,False,False
M099,ATA 28 - Fuel → Fuel pump center → 1,28-21-02 [U] F048,см. оценку каждого соответствия,False,False
M100,ATA 28 - Fuel → Fuel pump center → 2,28-21-02 [U] F048,см. оценку каждого соответствия,False,False
M101,ATA 28 - Fuel → Fuel pump right → 1,28-21-01 [K] F047,см. оценку каждого соответствия,False,False
M102,ATA 28 - Fuel → Fuel pump right → 2,28-21-01 [K] F047,см. оценку каждого соответствия,False,False
M103,ATA 28 - Fuel → Fuel temp high → Inner Tank High Fuel Temp Ecam,,соответствие FAA MMEL пока не установлено,False,False
M104,ATA 28 - Fuel → Fuel temp high → Outer Tank High Fuel Temp Ecam,,соответствие FAA MMEL пока не установлено,False,False
M105,ATA 28 - Fuel → Fuel temp high → Inner Tank High Fuel Temp Adv,,соответствие FAA MMEL пока не установлено,False,False
M106,ATA 28 - Fuel → Fuel temp high → Outer Tank High Fuel Temp Adv,,соответствие FAA MMEL пока не установлено,False,False
M107,ATA 28 - Fuel → Fuel temp low → Inner Tank Low Fuel Temp Ecam,,соответствие FAA MMEL пока не установлено,False,False
M108,ATA 28 - Fuel → Fuel temp low → Outer Tank Low Fuel Temp Ecam,,соответствие FAA MMEL пока не установлено,False,False
M109,ATA 28 - Fuel → Fuel temp low → Inner Tank Low Fuel Temp Adv,,соответствие FAA MMEL пока не установлено,False,False
M110,ATA 28 - Fuel → Fuel temp low → Outer Tank Low Fuel Temp Adv,,соответствие FAA MMEL пока не установлено,False,False
M111,ATA 28 - Fuel → Fuel transfer valves → Left Transfer 1,28-15-01 [U] F046,см. оценку каждого соответствия,False,False
M112,ATA 28 - Fuel → Fuel transfer valves → Left Transfer 2,28-15-01 [U] F046,см. оценку каждого соответствия,False,False
M113,ATA 28 - Fuel → Fuel transfer valves → Right Transfer 1,28-15-01 [U] F046,см. оценку каждого соответствия,False,False
M114,ATA 28 - Fuel → Fuel transfer valves → Right Transfer 2,28-15-01 [U] F046,см. оценку каждого соответствия,False,False
M115,ATA 28 - Fuel → Fuel valves → Eng 1 Fuel Valve Stuck,,соответствие FAA MMEL пока не установлено,False,False
M116,ATA 28 - Fuel → Fuel valves → Eng 2 Fuel Valve Stuck,,соответствие FAA MMEL пока не установлено,False,False
M117,ATA 28 - Fuel → Fuel valves → Crossfeed Valve,28-23-02 [X] F050,см. оценку каждого соответствия,False,False
M118,ATA 28 - Fuel → Fuel valves → Defuel/transfer Valve,28-25-05 [U] LIVE-NEW-02,см. оценку каждого соответствия,False,False
M119,ATA 28 - Fuel → Fuel leak → Left Outer,,соответствие FAA MMEL пока не установлено,False,False
M120,ATA 28 - Fuel → Fuel leak → Left Inner,,соответствие FAA MMEL пока не установлено,False,False
M121,ATA 28 - Fuel → Fuel leak → Center,,соответствие FAA MMEL пока не установлено,False,False
M122,ATA 28 - Fuel → Fuel leak → Right Inner,,соответствие FAA MMEL пока не установлено,False,False
M123,ATA 28 - Fuel → Fuel leak → Right Outer,,соответствие FAA MMEL пока не установлено,False,False
M124,ATA 28 - Fuel → HP Fuel valve → Eng 1,,соответствие FAA MMEL пока не установлено,False,False
M125,ATA 28 - Fuel → HP Fuel valve → Eng 2,,соответствие FAA MMEL пока не установлено,False,False
M126,ATA 29 - Hydraulic power → Hydraulic leak → Green,29-30-03 [X] F056,см. оценку каждого соответствия,False,False
M127,ATA 29 - Hydraulic power → Hydraulic leak → Blue,29-30-03 [X] F056,см. оценку каждого соответствия,False,False
M128,ATA 29 - Hydraulic power → Hydraulic leak → Yellow,29-30-03 [X] F056,см. оценку каждого соответствия,False,False
M129,ATA 29 - Hydraulic power → Reservoir overheat → Green,,соответствие FAA MMEL пока не установлено,False,False
M130,ATA 29 - Hydraulic power → Reservoir overheat → Blue,,соответствие FAA MMEL пока не установлено,False,False
M131,ATA 29 - Hydraulic power → Reservoir overheat → Yellow,,соответствие FAA MMEL пока не установлено,False,False
M132,ATA 29 - Hydraulic power → Reservoir low air pressure → Green Low Reservoir Air Pressure,,соответствие FAA MMEL пока не установлено,False,False
M133,ATA 29 - Hydraulic power → Reservoir low air pressure → Blue Low Reservoir Air Pressure,,соответствие FAA MMEL пока не установлено,False,False
M134,ATA 29 - Hydraulic power → Reservoir low air pressure → Yellow Low Reservoir Air Pressure,,соответствие FAA MMEL пока не установлено,False,False
M135,ATA 29 - Hydraulic power → Hydraulic low → Green  Level,,соответствие FAA MMEL пока не установлено,False,False
M136,ATA 29 - Hydraulic power → Hydraulic low → Blue  Level,,соответствие FAA MMEL пока не установлено,False,False
M137,ATA 29 - Hydraulic power → Hydraulic low → Yellow  Level,,соответствие FAA MMEL пока не установлено,False,False
M138,ATA 29 - Hydraulic power → Engine pumps → Eng 1 Pump Failure,29-10-01 [X] F052,см. оценку каждого соответствия,False,False
M139,ATA 29 - Hydraulic power → Engine pumps → Eng 2 Pump Failure,29-10-01 [X] F052,см. оценку каждого соответствия,False,False
M140,ATA 29 - Hydraulic power → Fire valves → Eng 1 Fire Valve,,соответствие FAA MMEL пока не установлено,False,False
M141,ATA 29 - Hydraulic power → Fire valves → Eng 2 Fire Valve,,соответствие FAA MMEL пока не установлено,False,False
M142,ATA 29 - Hydraulic power → PTU Fault,29-23-01 [X] F054,см. оценку каждого соответствия,False,False
M143,ATA 29 - Hydraulic power → Elec pumps → Elec Hyd Pump Blue Failure,29-10-02 [X] F053,см. оценку каждого соответствия,False,False
M144,ATA 29 - Hydraulic power → Elec pumps → Elec Hyd Pump Yellow Failure,29-25-01 [K] F055,см. оценку каждого соответствия,False,False
M145,ATA 29 - Hydraulic power → Elec pump overheat → Elec Blue Pump Overheat,,соответствие FAA MMEL пока не установлено,False,False
M146,ATA 29 - Hydraulic power → Elec pump overheat → Elec Yellow Pump Overheat,,соответствие FAA MMEL пока не установлено,False,False
M147,ATA 32 - Landing gear → BSCU → Sys 1,32-42-03 [U] F080,см. оценку каждого соответствия,False,False
M148,ATA 32 - Landing gear → BSCU → Sys 2,32-42-03 [U] F080,см. оценку каждого соответствия,False,False
M149,ATA 32 - Landing gear → ABCU,,соответствие FAA MMEL пока не установлено,False,False
M150,ATA 32 - Landing gear → Brake fault → Bscu 1,,соответствие FAA MMEL пока не установлено,False,False
M151,ATA 32 - Landing gear → Brake fault → Bscu 2,,соответствие FAA MMEL пока не установлено,False,False
M152,ATA 32 - Landing gear → Brake fault → Autobrake Failure,32-42-04 [K] F081,см. оценку каждого соответствия,False,False
M153,ATA 32 - Landing gear → Wheel brake fault → 1,32-42-01 [K] F079,см. оценку каждого соответствия,False,False
M154,ATA 32 - Landing gear → Wheel brake fault → 2,32-42-01 [K] F079,см. оценку каждого соответствия,False,False
M155,ATA 32 - Landing gear → Wheel brake fault → 3,32-42-01 [K] F079,см. оценку каждого соответствия,False,False
M156,ATA 32 - Landing gear → Wheel brake fault → 4,32-42-01 [K] F079,см. оценку каждого соответствия,False,False
M157,ATA 32 - Landing gear → Tyre pressure → Main 1 Low,,соответствие FAA MMEL пока не установлено,False,False
M158,ATA 32 - Landing gear → Tyre pressure → Main 2 Low,,соответствие FAA MMEL пока не установлено,False,False
M159,ATA 32 - Landing gear → Tyre pressure → Left 1 Low,32-49-01 [X] F082,см. оценку каждого соответствия,False,False
M160,ATA 32 - Landing gear → Tyre pressure → Left 2 Low,,соответствие FAA MMEL пока не установлено,False,False
M161,ATA 32 - Landing gear → Tyre pressure → Right 1 Low,,соответствие FAA MMEL пока не установлено,False,False
M162,ATA 32 - Landing gear → Tyre pressure → Right 2 Low,,соответствие FAA MMEL пока не установлено,False,False
M163,ATA 32 - Landing gear → Nose wheel steering,,соответствие FAA MMEL пока не установлено,False,False
M164,ATA 32 - Landing gear → LGCIU → 1,32-31-01 [X] F077,см. оценку каждого соответствия,False,False
M165,ATA 32 - Landing gear → LGCIU → 2,32-31-01 [K] F076,см. оценку каждого соответствия,False,False
M166,ATA 32 - Landing gear → Gear safety valve,,соответствие FAA MMEL пока не установлено,False,False
M167,ATA 32 - Landing gear → Gear lock → Left Main Gear Does Not Lock,,соответствие FAA MMEL пока не установлено,False,False
M168,ATA 32 - Landing gear → Gear lock → Nose Gear Does Not Lock,,соответствие FAA MMEL пока не установлено,False,False
M169,ATA 32 - Landing gear → Gear lock → Right Main Gear Does Not Lock,,соответствие FAA MMEL пока не установлено,False,False
M170,ATA 32 - Landing gear → Gear failure → Gear Locked Up,,соответствие FAA MMEL пока не установлено,False,False
M171,ATA 32 - Landing gear → Gear failure → Gear Locked Down,32-31-02 [U] F078,см. оценку каждого соответствия,False,False
M172,ATA 34 - Navigation → IR fault → Ir1 Ir Failure,,соответствие FAA MMEL пока не установлено,False,False
M173,ATA 34 - Navigation → IR fault → Ir2 Ir Failure,34-10-01 [U] F086,см. оценку каждого соответствия,False,False
M174,ATA 34 - Navigation → IR fault → Ir3 Ir Failure,34-10-01 [U] F086,см. оценку каждого соответствия,False,False
M175,ATA 34 - Navigation → IRS position failure → Ir1 Position Failure,34-10-01 [U] F085,см. оценку каждого соответствия,False,False
M176,ATA 34 - Navigation → IRS position failure → Ir2 Position Failure,34-10-01 [U] F086,см. оценку каждого соответствия,False,False
M177,ATA 34 - Navigation → IRS position failure → Ir3 Position Failure,34-10-01 [U] F086,см. оценку каждого соответствия,False,False
M178,ATA 34 - Navigation → ADR fault → Adr1 Failure,34-10-01 [X] F084,см. оценку каждого соответствия,False,False
M179,ATA 34 - Navigation → ADR fault → Adr2 Failure,34-10-01 [K] F083,см. оценку каждого соответствия,False,False
M180,ATA 34 - Navigation → ADR fault → Adr3 Failure,34-10-01 [K] F083,см. оценку каждого соответствия,False,False
M181,ATA 34 - Navigation → IRS Alignment → Ir1 Alignment,,соответствие FAA MMEL пока не установлено,False,False
M182,ATA 34 - Navigation → IRS Alignment → Ir2 Alignment,,соответствие FAA MMEL пока не установлено,False,False
M183,ATA 34 - Navigation → IRS Alignment → Ir3 Alignment,,соответствие FAA MMEL пока не установлено,False,False
M184,ATA 34 - Navigation → Pitot blocked → Capt,,соответствие FAA MMEL пока не установлено,False,False
M185,ATA 34 - Navigation → Pitot blocked → F/o,,соответствие FAA MMEL пока не установлено,False,False
M186,ATA 34 - Navigation → Pitot blocked → Stdby,,соответствие FAA MMEL пока не установлено,False,False
M187,ATA 34 - Navigation → Pitch discrepancy → Ir1,,соответствие FAA MMEL пока не установлено,False,False
M188,ATA 34 - Navigation → Pitch discrepancy → Ir2,,соответствие FAA MMEL пока не установлено,False,False
M189,ATA 34 - Navigation → Pitch discrepancy → Ir3,,соответствие FAA MMEL пока не установлено,False,False
M190,ATA 34 - Navigation → Bank discrepancy → Ir1,,соответствие FAA MMEL пока не установлено,False,False
M191,ATA 34 - Navigation → Bank discrepancy → Ir2,,соответствие FAA MMEL пока не установлено,False,False
M192,ATA 34 - Navigation → Bank discrepancy → Ir3,,соответствие FAA MMEL пока не установлено,False,False
M193,ATA 34 - Navigation → Heading discrepancy → Ir1,,соответствие FAA MMEL пока не установлено,False,False
M194,ATA 34 - Navigation → Heading discrepancy → Ir2,,соответствие FAA MMEL пока не установлено,False,False
M195,ATA 34 - Navigation → Heading discrepancy → Ir3,,соответствие FAA MMEL пока не установлено,False,False
M196,ATA 34 - Navigation → IR Disagree → Ir1,,соответствие FAA MMEL пока не установлено,False,False
M197,ATA 34 - Navigation → IR Disagree → Ir2,,соответствие FAA MMEL пока не установлено,False,False
M198,ATA 34 - Navigation → MCDU → 1,22-82-01 [K] F026,см. оценку каждого соответствия,False,False
M199,ATA 34 - Navigation → MCDU → 2,22-82-01 [K] F026,см. оценку каждого соответствия,False,False
M200,ATA 34 - Navigation → MCDU recoverable fault → Cdu 1 Recoverable Fault,,соответствие FAA MMEL пока не установлено,False,False
M201,ATA 34 - Navigation → MCDU recoverable fault → Cdu 2 Recoverable Fault,,соответствие FAA MMEL пока не установлено,False,False
M202,ATA 34 - Navigation → FMGC → 1,22-83-01 [K] F027,см. оценку каждого соответствия,False,False
M203,ATA 34 - Navigation → FMGC → 2,22-83-01 [K] F027,см. оценку каждого соответствия,False,False
M204,ATA 34 - Navigation → GPWC,34-48-01 [U] F091,см. оценку каждого соответствия,False,False
M205,ATA 34 - Navigation → Radios → Vor 1,34-55-01 [K] F094,см. оценку каждого соответствия,False,False
M206,ATA 34 - Navigation → Radios → Vor 2,34-55-01 [K] F094,см. оценку каждого соответствия,False,False
M207,ATA 34 - Navigation → Radios → Adf 1,34-53-01 [K] F093,см. оценку каждого соответствия,False,False
M208,ATA 34 - Navigation → Radios → Adf 2,34-53-01 [K] F093,см. оценку каждого соответствия,False,False
M209,ATA 34 - Navigation → ILS → 1 Loc,34-36-01 [U] F087,см. оценку каждого соответствия,False,False
M210,ATA 34 - Navigation → ILS → 1 G/s,34-36-01 [U] F087,см. оценку каждого соответствия,False,False
M211,ATA 34 - Navigation → ILS → 2 Loc,34-36-01 [U] F087,см. оценку каждого соответствия,False,False
M212,ATA 34 - Navigation → ILS → 2 G/s,34-36-01 [U] F087,см. оценку каждого соответствия,False,False
M213,ATA 34 - Navigation → ILS transmitter → Localizer,,соответствие FAA MMEL пока не установлено,False,False
M214,ATA 34 - Navigation → ILS transmitter → Glideslope,,соответствие FAA MMEL пока не установлено,False,False
M215,ATA 34 - Navigation → GPS → 1,34-58-01 [K] F095,см. оценку каждого соответствия,False,False
M216,ATA 34 - Navigation → GPS → 2,34-58-01 [K] F095,см. оценку каждого соответствия,False,False
M217,ATA 34 - Navigation → Radio altimeter → 1,34-42-01 [K] F089,см. оценку каждого соответствия,False,False
M218,ATA 34 - Navigation → Radio altimeter → 2,34-42-01 [K] F089,см. оценку каждого соответствия,False,False
M219,ATA 34 - Navigation → NAV accuracy downgrade,,соответствие FAA MMEL пока не установлено,False,False
M220,ATA 34 - Navigation → TCAS,34-43-01 [K] F090,см. оценку каждого соответствия,False,False
M221,ATA 34 - Navigation → ATC → 1,34-52-01 [K] F092,см. оценку каждого соответствия,False,False
M222,ATA 34 - Navigation → ATC → 2,34-52-01 [K] F092,см. оценку каждого соответствия,False,False
M223,ATA 36 - Pneumatic → Lavatory/Galley fan,21-23-01 [K] F002,см. оценку каждого соответствия,False,False
M224,ATA 36 - Pneumatic → Pneumatic valves → Eng 1 Hp Valve,36-11-07 [U] F098,см. оценку каждого соответствия,False,False
M225,ATA 36 - Pneumatic → Pneumatic valves → Eng 2 Hp Valve,36-11-07 [U] F098,см. оценку каждого соответствия,False,False
M226,ATA 36 - Pneumatic → Pneumatic valves → Ram Air Valve,21-55-01 [U] F016,см. оценку каждого соответствия,False,False
M227,ATA 36 - Pneumatic → Pneumatic valves → Eng 1 Bleed Valve,36-11-02 [U] F097,см. оценку каждого соответствия,False,False
M228,ATA 36 - Pneumatic → Pneumatic valves → Eng 2 Bleed Valve,36-11-02 [U] F097,см. оценку каждого соответствия,False,False
M229,ATA 36 - Pneumatic → Pneumatic valves → Hot Air Valve,21-63-03 [U] F018,см. оценку каждого соответствия,False,False
M230,ATA 36 - Pneumatic → Bleed air low temperature → Eng 1 Bleed Low Temp,,соответствие FAA MMEL пока не установлено,False,False
M231,ATA 36 - Pneumatic → Bleed air low temperature → Eng 2 Bleed Low Temp,,соответствие FAA MMEL пока не установлено,False,False
M232,ATA 36 - Pneumatic → BMC → 1,36-11-08 [U] F099,см. оценку каждого соответствия,False,False
M233,ATA 36 - Pneumatic → BMC → 2,36-11-08 [U] F099,см. оценку каждого соответствия,False,False
M234,ATA 36 - Pneumatic → Pneumatic valve → Crossbleed Valve,36-12-04 [X] F101,см. оценку каждого соответствия,False,False
M235,ATA 36 - Pneumatic → Pneumatic valve → Apu Bleed Valve,36-12-02 [U] F100,см. оценку каждого соответствия,False,False
M236,ATA 36 - Pneumatic → Pack valves → Pack 1 Flow Control Valve,21-51-01 [U] F013,см. оценку каждого соответствия,False,False
M237,ATA 36 - Pneumatic → Pack valves → Pack 2 Flow Control Valve,21-51-01 [U] F013,см. оценку каждого соответствия,False,False
M238,ATA 36 - Pneumatic → Bleed leak → Wing Engine 1,,соответствие FAA MMEL пока не установлено,False,False
M239,ATA 36 - Pneumatic → Bleed leak → Wing Engine 2,,соответствие FAA MMEL пока не установлено,False,False
M240,ATA 36 - Pneumatic → Bleed leak → Pylon Engine 1,36-22-15 [X] F102,см. оценку каждого соответствия,False,False
