id1,id2,names,mmel,rule_profiles
M258,M263,Обогрев датчика TAT F/O + Обогрев статического порта CAPT — левый,30-31-03,STATIC_HEAT
M258,M264,Обогрев датчика TAT F/O + Обогрев статического порта CAPT — правый,30-31-03,STATIC_HEAT
M260,M261,Обогрев приёмника Pitot CAPT + Обогрев приёмника Pitot F/O,30-31-02,PITOT_HEAT
M260,M262,Обогрев приёмника Pitot CAPT + Обогрев приёмника Pitot STBY,30-31-02,PITOT_HEAT
M260,M265,Обогрев приёмника Pitot CAPT + Обогрев статического порта F/O — левый,30-31-02; 30-31-03,PITOT_HEAT; STATIC_HEAT
M260,M266,Обогрев приёмника Pitot CAPT + Обогрев статического порта F/O — правый,30-31-02; 30-31-03,PITOT_HEAT; STATIC_HEAT
M260,M267,Обогрев приёмника Pitot CAPT + Обогрев статического порта STBY — левый,30-31-02,PITOT_HEAT
M260,M268,Обогрев приёмника Pitot CAPT + Обогрев статического порта STBY — правый,30-31-02,PITOT_HEAT
M261,M262,Обогрев приёмника Pitot F/O + Обогрев приёмника Pitot STBY,30-31-02,PITOT_HEAT
M261,M263,Обогрев приёмника Pitot F/O + Обогрев статического порта CAPT — левый,30-31-02; 30-31-03,PITOT_HEAT; STATIC_HEAT
M261,M264,Обогрев приёмника Pitot F/O + Обогрев статического порта CAPT — правый,30-31-02; 30-31-03,PITOT_HEAT; STATIC_HEAT
M261,M267,Обогрев приёмника Pitot F/O + Обогрев статического порта STBY — левый,30-31-02,PITOT_HEAT
M261,M268,Обогрев приёмника Pitot F/O + Обогрев статического порта STBY — правый,30-31-02,PITOT_HEAT
M262,M263,Обогрев приёмника Pitot STBY + Обогрев статического порта CAPT — левый,30-31-02; 30-31-03,PITOT_HEAT; STATIC_HEAT
M262,M264,Обогрев приёмника Pitot STBY + Обогрев статического порта CAPT — правый,30-31-02; 30-31-03,PITOT_HEAT; STATIC_HEAT
M262,M265,Обогрев приёмника Pitot STBY + Обогрев статического порта F/O — левый,30-31-02; 30-31-03,PITOT_HEAT; STATIC_HEAT
M262,M266,Обогрев приёмника Pitot STBY + Обогрев статического порта F/O — правый,30-31-02; 30-31-03,PITOT_HEAT; STATIC_HEAT
M263,M265,Обогрев статического порта CAPT — левый + Обогрев статического порта F/O — левый,30-31-03,STATIC_HEAT
M263,M266,Обогрев статического порта CAPT — левый + Обогрев статического порта F/O — правый,30-31-03,STATIC_HEAT
M263,M267,Обогрев статического порта CAPT — левый + Обогрев статического порта STBY — левый,30-31-03,STATIC_HEAT
M263,M268,Обогрев статического порта CAPT — левый + Обогрев статического порта STBY — правый,30-31-03,STATIC_HEAT
M264,M265,Обогрев статического порта CAPT — правый + Обогрев статического порта F/O — левый,30-31-03,STATIC_HEAT
M264,M266,Обогрев статического порта CAPT — правый + Обогрев статического порта F/O — правый,30-31-03,STATIC_HEAT
M264,M267,Обогрев статического порта CAPT — правый + Обогрев статического порта STBY — левый,30-31-03,STATIC_HEAT
M264,M268,Обогрев статического порта CAPT — правый + Обогрев статического порта STBY — правый,30-31-03,STATIC_HEAT
M265,M267,Обогрев статического порта F/O — левый + Обогрев статического порта STBY — левый,30-31-03,STATIC_HEAT
M265,M268,Обогрев статического порта F/O — левый + Обогрев статического порта STBY — правый,30-31-03,STATIC_HEAT
M266,M267,Обогрев статического порта F/O — правый + Обогрев статического порта STBY — левый,30-31-03,STATIC_HEAT
M266,M268,Обогрев статического порта F/O — правый + Обогрев статического порта STBY — правый,30-31-03,STATIC_HEAT
M295,M296,Демпфер рыскания — канал 1 + Демпфер рыскания — канал 2,22-63-01,YAW_DAMPER
