mmel_id,title,pdf_pages,printed_pages,assessments,screening_status,approved_for_generation
22-72-01,Flight Management System (FMS),61; 62,22-5; 22-6,,сопоставление с Fenix не установлено,False
22-75-01,RNP pb switch ON Light,62,22-6,,сопоставление с Fenix не установлено,False
22-75-02,RNP pb switch,62,22-6,,сопоставление с Fenix не установлено,False
22-76-01,T.O SURV pb-sw (With Mod. 162728/ MP P20485),62,22-6,,сопоставление с Fenix не установлено,False
22-76-02,T.O SURV pb-sw OFF Light (With Mod. 162728/ MP P20485),62,22-6,,сопоставление с Fenix не установлено,False
22-81-01,FCU,63,22-7,F025,есть отдельная оценка — см. матрицу,False
22-81-02,FMA Indications on PFD,64,22-8,,сопоставление с Fenix не установлено,False
22-81-03,Autoflight Control Panel,64; 65; 66,22-8; 22-9; 22-10,,сопоставление с Fenix не установлено,False
22-81-04,EFIS Control Panel,66; 67,22-10; 22-11,,сопоставление с Fenix не установлено,False
22-81-06,Automatic Landing System (AUTOLAND),68,22-12,,сопоставление с Fenix не установлено,False
22-82-01,Multipurpose Control Display Units (MCDU),68,22-12,F026,есть отдельная оценка — см. матрицу,False
22-83-01,Flight Management Guidance Computer (FMGC),68; 69,22-12; 22-13,F027,есть отдельная оценка — см. матрицу,False
23-00-00,CLASS II MAINTENANCE MESSAGES DISPLAYED ON ECAM STATUS PAGE OF ECAM SYSTEM DISPLAY,70,23-1,,сопоставление с Fenix не установлено,False
23-11-01,High Frequency (HF) Communication System,70; 71,23-1; 23-2,,сопоставление с Fenix не установлено,False
23-12-01,VHF Communications System,71; 72,23-2; 23-3,,сопоставление с Fenix не установлено,False
23-13-01,Radio Management Panels (RMP),72; 73; 74; 75,23-3; 23-4; 23-5; 23-6,,сопоставление с Fenix не установлено,False
23-14-01,Audio Management Unit (AMU) Side (With Mod 162344/ MP P20240 for Digital RMP),75,23-6,,сопоставление с Fenix не установлено,False
23-24-01,ACARS System,76,23-7,,сопоставление с Fenix не установлено,False
23-28-01,Satellite Communication (SATCOM) System,76,23-7,,сопоставление с Fenix не установлено,False
23-31-01,Passenger Address System,77,23-8,,сопоставление с Fenix не установлено,False
23-31-02,PA IN USE LIGHT,77,23-8,,сопоставление с Fenix не установлено,False
23-42-01,Ground External Horn,77,23-8,,сопоставление с Fenix не установлено,False
23-42-02,Alerting System (Chime/Light),78,23-9,,сопоставление с Fenix не установлено,False
23-43-01,Flight Deck to Ground Interphone System,79,23-10,,сопоставление с Fenix не установлено,False
23-43-02,Crewmember Interphone System,79; 80,23-10; 23-11,,сопоставление с Fenix не установлено,False
23-43-04,Handsets,81,23-12,,сопоставление с Fenix не установлено,False
23-44-01,Service Interphone Jack Systems,81,23-12,,сопоставление с Fenix не установлено,False
23-51-01,Selcal (AMU),81,23-12,,сопоставление с Fenix не установлено,False
23-51-02,Audio Control Panel (ACP),82,23-13,,сопоставление с Fenix не установлено,False
23-51-03,Switching Panel,83,23-14,,сопоставление с Fenix не установлено,False
23-51-04,Flight Deck Headsets/ Headphones,83,23-14,,сопоставление с Fenix не установлено,False
23-51-05,Hand Mic System,83,23-14,,сопоставление с Fenix не установлено,False
23-51-06,Cockpit Loudspeakers,83; 84,23-14; 23-15,,сопоставление с Fenix не установлено,False
23-51-08,Side Stick Radio Selector (PTT),84; 85,23-15; 23-16,,сопоставление с Fenix не установлено,False
23-51-09,Passenger Audio System (Observer Position),86,23-17,,сопоставление с Fenix не установлено,False
23-71-01,Cockpit Voice Recorder System (CVR),86,23-17,F028,есть отдельная оценка — см. матрицу,False
23-71-02,RCDR Control Panel,86,23-17,,сопоставление с Fenix не установлено,False
23-72-01,Flight Deck Door Visual Surveillance Systems,87; 88,23-18; 23-19,,сопоставление с Fenix не установлено,False
23-73-01,Cabin Intercommunication Data System (CIDS) CIDS Director,88; 89,23-19; 23-20,,сопоставление с Fenix не установлено,False
23-73-02,Cabin Intercommunication Data System (CIDS) CIDS DEU A,90,23-21,,сопоставление с Fenix не установлено,False
23-73-03,Cabin Intercommunication Data System (CIDS),91; 92,23-22; 23-23,,сопоставление с Fenix не установлено,False
23-73-04,Forward Attendant Panel (FAP) (Without Mod. 30354 or without Mod. 33100),93,23-24,,сопоставление с Fenix не установлено,False
23-73-06,Programmed Cabin Assignment Module (CAM),94,23-25,,сопоставление с Fenix не установлено,False
23-73-07,Programming and Test Panel (PTP) (Without Mod. 30354 or without Mod. 33100),94; 95,23-25; 23-26,,сопоставление с Fenix не установлено,False
23-73-08,Flight Attendant Panel (FAP) (With Mod. 30354 or with Mod. 33100),95; 96; 97,23-26; 23-27; 23-28,,сопоставление с Fenix не установлено,False
23-75-01,E-Direct View System (With Mod. 166696/ MP K21857),97,23-28,,сопоставление с Fenix не установлено,False
23-90-01,Cabin Surveillance System (CSS) STC No.ST02483AT,98,23-29,,сопоставление с Fenix не установлено,False
23-90-03,Wireless Aircraft Data Link System (WADL) STC No. ST01447NY,98,23-29,,сопоставление с Fenix не установлено,False
24-00-00,CLASS II MAINTENANCE MESSAGES DISPLAYED ON ECAM STATUS PAGE OF ECAM SYSTEM DISPLAY,99,24-1,,сопоставление с Fenix не установлено,False
24-20-01,"Engine Driven Generator Channel (IDG, GCU, Line Contactor)",100; 101; 102; 103; 104; 105; 106; 107; 108; 109; 110; 111,24-2; 24-3; 24-4; 24-5; 24-6; 24-7; 24-8; 24-9; 24-10; 24-11; 24-12; 24-13,F029,есть отдельная оценка — см. матрицу,False
24-20-02,APU Generator Channel,112; 113; 114; 115; 116; 117,24-14; 24-15; 24-16; 24-17; 24-18; 24-19,F030,есть отдельная оценка — см. матрицу,False
24-20-07,AC ESS Feed Control,117,24-19,,сопоставление с Fenix не установлено,False
24-27-01,IDG FAULT Lights,117,24-19,,сопоставление с Fenix не установлено,False
24-27-02,GEN pb Switch,118,24-20,,сопоставление с Fenix не установлено,False
24-27-03,AC ESS FEED FAULT/ALTN Light,118,24-20,,сопоставление с Fenix не установлено,False
24-27-04,GALLEY/GALY and CAB pb Switch,118,24-20,,сопоставление с Fenix не установлено,False
24-27-05,RAT and EMER GEN FAULT Light,118,24-20,,сопоставление с Fenix не установлено,False
24-27-06,Indications on ECAM ELEC Page,118,24-20,,сопоставление с Fenix не установлено,False
24-27-09,COMMERCIAL pb Switch,119; 120,24-21; 24-22,,сопоставление с Fenix не установлено,False
24-30-01,Transformer/Rectifier Units (TR),119,24-21,F031; F032; F033,есть отдельная оценка — см. матрицу,False
24-30-04,Battery Voltmeters,120,24-22,,сопоставление с Fenix не установлено,False
24-30-05,BAT pb Switches,120,24-22,,сопоставление с Fenix не установлено,False
24-30-06,DC BUS TIE SYSTEM,120,24-22,,сопоставление с Fenix не установлено,False
24-30-07,BUS TIE pb Switch,121,24-23,,сопоставление с Fenix не установлено,False
24-30-08,ECAM ELEC Page (DC),121,24-23,,сопоставление с Fenix не установлено,False
24-30-09,External Power Panel ADIRU/AVNCS Vent Caution Light,121,24-23,,сопоставление с Fenix не установлено,False
24-41-01,AC External Power Control,121,24-23,,сопоставление с Fenix не установлено,False
24-41-02,External Power NOT IN USE and AVAIL Panel Lights,121,24-23,,сопоставление с Fenix не установлено,False
24-41-03,EXT PWR pb,122,24-24,,сопоставление с Fenix не установлено,False
24-50-01,Warning and Caution on ECAM EWD,122; 123,24-24; 24-25,,сопоставление с Fenix не установлено,False
24-56-01,GALLEY/GALY and CAB and COMMERCIAL Supply Systems,123,24-25,,сопоставление с Fenix не установлено,False
25-00-00,CLASS II MAINTENANCE MESSAGES DISPLAYED ON ECAM STATUS PAGE OF ECAM SYSTEM DISPLAY,124,25-1,,сопоставление с Fenix не установлено,False
25-11-01,Pilot Seat Adjustments,125,25-2,,сопоставление с Fenix не установлено,False
25-11-02,Crewmember Shoulder Harness (Flight Deck),126,25-3,,сопоставление с Fenix не установлено,False
25-11-03,CAPT and F/O Outboard Armrest Controls,126,25-3,,сопоставление с Fenix не установлено,False
25-11-04,CAPT and F/O Inboard Armrest Vertical Adjustment Controls,126,25-3,,сопоставление с Fenix не установлено,False
25-11-05,Pilot Seat Headrests,126,25-3,,сопоставление с Fenix не установлено,False
25-11-06,Primary Observer’s Sliding Seat (Including Associated Equipment),127,25-4,,сопоставление с Fenix не установлено,False
25-11-07,Additional Observer’s Fixed Seat (Including Associated Equipment),128,25-5,,сопоставление с Fenix не установлено,False
25-13-01,CAPT and F/O Sliding Tables,128,25-5,,сопоставление с Fenix не установлено,False
25-13-02,CAPT and F/O Retractable Footrests,128,25-5,,сопоставление с Fenix не установлено,False
25-15-01,Crew Foot Warmers,128,25-5,,сопоставление с Fenix не установлено,False
25-21-01,Passenger Seat(s),129; 130,25-6; 25-7,,сопоставление с Fenix не установлено,False
25-22-01,Flight Attendant Seat Assembly (Single or Dual Position),131; 132; 133,25-8; 25-9; 25-10,,сопоставление с Fenix не установлено,False
25-22-03,Nonessential Equipment and Furnishings (NEF),133,25-10,,сопоставление с Fenix не установлено,False
25-22-04,Exterior Lavatory Door Ashtrays,133,25-10,,сопоставление с Fenix не установлено,False
25-27-01,"Heating Function of Heated Floor Panels (Passenger/Crew Doors, Emergency Exits, and Galley Areas)",134,25-11,,сопоставление с Fenix не установлено,False
25-28-01,"Storage Bin(s)/Cabin, Galley, and Lavatory Storage Compartment/Closets",134; 135; 136,25-11; 25-12; 25-13,,сопоставление с Fenix не установлено,False
25-40-01,Lavatory Waste Receptacle Access Doors/Covers/Flapper/ Doors,137,25-14,,сопоставление с Fenix не установлено,False
25-45-01,Galley/Cabin Waste Receptacles Access Doors/Covers/Flapper Doors,137,25-14,,сопоставление с Fenix не установлено,False
25-50-01,Cargo Loading System,137,25-14,,сопоставление с Fenix не установлено,False
25-50-02,Blow In/Out Panels in Lower Deck Cargo Compartments,138,25-15,,сопоставление с Fenix не установлено,False
25-50-03,Lining Panels in Lower Deck Cargo Compartments,139; 140,25-16; 25-17,,сопоставление с Fenix не установлено,False
25-50-04,"Cargo Restraint System (Nets, Attach Points, Stanchions, etc.)",140; 141,25-17; 25-18,,сопоставление с Fenix не установлено,False
25-50-05,Protection Panel of Decompression Panels at the FWD Partition Wall of FWD Cargo Compartment,142,25-19,,сопоставление с Fenix не установлено,False
25-60-01,Evacuation Alarm Signaling System (EVAC COMMAND),142,25-19,,сопоставление с Fenix не установлено,False
25-60-03,SLIDE ARMED Warning Systems,142,25-19,,сопоставление с Fenix не установлено,False
25-60-04,SLIDE Indications on ECAM DOOR/OXY Page,143,25-20,,сопоставление с Fenix не установлено,False
25-60-07,“Fasten Seat Belts While Seated” Signs or Placards,143,25-20,,сопоставление с Fenix не установлено,False
25-60-08,Flashlight and Holders (Flight Deck or Cabin),144,25-21,,сопоставление с Fenix не установлено,False
25-60-09,Megaphones,145,25-22,,сопоставление с Fenix не установлено,False
25-60-11,Slide Raft Lanyards (White and/or Yellow),146,25-23,,сопоставление с Fenix не установлено,False
25-60-13,Emergency Medical Equipment,146; 147; 148,25-23; 25-24; 25-25,,сопоставление с Fenix не установлено,False
25-60-14,Escape Life Lines,149,25-26,,сопоставление с Fenix не установлено,False
25-60-15,Emergency Vision Assurance Systems (EVAS) (A319/A320/A321) (Vision Safe STC #SA00892LA),149,25-26,,сопоставление с Fenix не установлено,False
25-60-16,Flotation Equipment (Crew and Passenger),149,25-26,,сопоставление с Fenix не установлено,False
25-60-17,Survival Kit,149,25-26,,сопоставление с Fenix не установлено,False
25-60-18,Crash Axe/Crow Bar,149,25-26,,сопоставление с Fenix не установлено,False
25-61-01,Emergency Locator Transmitter,149; 150; 151,25-26; 25-27; 25-28,,сопоставление с Fenix не установлено,False
25-61-02,Passenger or Overwing Door Slide/Slide Rafts (Without Passengers),152,25-29,,сопоставление с Fenix не установлено,False
25-65-01,Security Kit and Associated Equipment,152,25-29,,сопоставление с Fenix не установлено,False
25-65-02,Fireproof Gloves,152,25-29,,сопоставление с Fenix не установлено,False
25-75-01,Flightcrew Rest Cabin Seat,153,25-30,,сопоставление с Fenix не установлено,False
25-75-02,"Flightcrew Rest Facilities and Equipment (14 CFR Part 117, § 117.3 Class 3)",153,25-30,,сопоставление с Fenix не установлено,False
25-90-01,Printed Supplemental Safety Information,154,25-31,,сопоставление с Fenix не установлено,False
26-00-00,CLASS II MAINTENANCE MESSAGES DISPLAYED ON ECAM STATUS PAGE OF ECAM SYSTEM DISPLAY,155,26-1,,сопоставление с Fenix не установлено,False
26-11-01,MLG Bay Fire Detection Loops (A321neo XLR),155,26-1,F112,есть отдельная оценка — см. матрицу,False
26-11-02,MLG Bay Fire Detection System (A321neo XLR),156,26-2,F113,есть отдельная оценка — см. матрицу,False
26-12-01,Engine Fire Detection Systems,156,26-2,F034,есть отдельная оценка — см. матрицу,False
26-12-02,FIRE Lights on ENG Control Panel,156,26-2,,сопоставление с Fenix не установлено,False
26-12-03,ENG FIRE pb Lights,156,26-2,,сопоставление с Fenix не установлено,False
26-13-01,APU Fire Detection System,156; 157,26-2; 26-3,F035,есть отдельная оценка — см. матрицу,False
26-13-02,APU FIRE pb Light,157,26-3,,сопоставление с Fenix не установлено,False
26-15-01,Avionics Smoke Detection System,157,26-3,,сопоставление с Fenix не установлено,False
26-16-03,Smoke Detectors in FWD Cargo Compartment,158,26-4,,сопоставление с Fenix не установлено,False
26-16-04,Smoke Detectors in AFT and Bulk Cargo Compartments,159,26-5,,сопоставление с Fenix не установлено,False
26-16-05,"FWD/AFT Detection Loops/Channels AAE, Ltd. STC No. ST01077WI",160,26-6,,сопоставление с Fenix не установлено,False
26-17-01,Lavatory Smoke Detection System,160,26-6,,сопоставление с Fenix не установлено,False
26-17-02,Smoke Detection Control Unit (SDCU) (A319/A320/A321) (Without Mod. 30354 or without Mod. 33100),161,26-7,F036,есть отдельная оценка — см. матрицу,False
26-18-01,Video Control Center Standalone Smoke Detection System,162,26-8,,сопоставление с Fenix не установлено,False
26-21-01,Engine AGENT 1 and 2 DISCH Light Systems,162,26-8,,сопоставление с Fenix не установлено,False
26-21-02,Engine AGENT 1 and 2 SQUIB Light Systems,162,26-8,,сопоставление с Fenix не установлено,False
26-21-03,ENG FIRE Test Systems,162,26-8,,сопоставление с Fenix не установлено,False
26-22-00,APU Fire Extinguisher System,162,26-8,,сопоставление с Fenix не установлено,False
26-22-01,APU Agent DISCH Light,162,26-8,,сопоставление с Fenix не установлено,False
26-22-02,APU SQUIB Light,162,26-8,,сопоставление с Fenix не установлено,False
26-22-03,APU Ground Automatic Fire Extinguisher System,163,26-9,,сопоставление с Fenix не установлено,False
26-22-04,APU Fire Test System,163,26-9,,сопоставление с Fenix не установлено,False
26-22-05,APU Fire Extinguisher Overpressure Indication (Red Disc),163,26-9,,сопоставление с Fenix не установлено,False
26-22-06,APU FIRE PUSH pb,163,26-9,,сопоставление с Fenix не установлено,False
26-22-07,APU AGENT pb,163,26-9,,сопоставление с Fenix не установлено,False
26-22-08,APU Fire Extinguisher Bottle,163,26-9,,сопоставление с Fenix не установлено,False
26-22-09,APU Fire Bottle Squibs,163,26-9,,сопоставление с Fenix не установлено,False
26-22-10,APU AUTO EXTING TEST,164,26-10,,сопоставление с Fenix не установлено,False
26-22-11,APU FIRE Light on External Power Panel,164,26-10,,сопоставление с Fenix не установлено,False
26-22-12,APU SHUT OFF pb on External Power Panel,164,26-10,,сопоставление с Fenix не установлено,False
26-23-01,FWD/AFT Cargo and BULK Cargo Compartment Fire Extinguishing System,165; 166; 167,26-11; 26-12; 26-13,,сопоставление с Fenix не установлено,False
26-23-02,FWD/AFT Cargo Compartment DISCH/BTL Lights,168,26-14,,сопоставление с Fenix не установлено,False
26-23-03,CARGO SMOKE DISCH AGENT 2 Light,168,26-14,,сопоставление с Fenix не установлено,False
26-23-04,"“PUSH” DSCH Switch Lights AAE, Ltd. STC No. ST01077WI",169,26-15,,сопоставление с Fenix не установлено,False
26-23-05,"“AUTO/MAN” DSCH Switch Lights AAE, Ltd. STC No. ST01077WI",170,26-16,,сопоставление с Fenix не установлено,False
26-23-06,"DET LEDs AAE, Ltd. STC No. ST01077WI",170,26-16,,сопоставление с Fenix не установлено,False
26-23-07,"FAIL LEDs AAE, Ltd. STC No. ST01077WI",171,26-17,,сопоставление с Fenix не установлено,False
26-23-08,"Fault Panel (E and E Compartment) AAE, Ltd. STC No. ST01077WI",171,26-17,,сопоставление с Fenix не установлено,False
26-25-01,Lavatory Waste Bin Fire Extinguisher System,171,26-17,,сопоставление с Fenix не установлено,False
26-26-24,Portable Fire Extinguishers,172,26-18,,сопоставление с Fenix не установлено,False
27-00-00,CLASS II MAINTENANCE MESSAGES DISPLAYED ON ECAM STATUS PAGE OF ECAM SYSTEM DISPLAY,173; 174,27-1; 27-2,,сопоставление с Fenix не установлено,False
27-14-01,Aileron Servo Controls,175; 176,27-3; 27-4,,сопоставление с Fenix не установлено,False
27-14-02,Aileron Indications on ECAM Flight Control Page,177,27-5,,сопоставление с Fenix не установлено,False
27-20-01,ECAM Rudder Position Indication,177,27-5,,сопоставление с Fenix не установлено,False
27-20-02,Rudder Hydraulic System Pressure Indication Symbol on ECAM F/CTL Page,177,27-5,,сопоставление с Fenix не установлено,False
27-21-01,Rudder Pedal Adjustment System,178,27-6,,сопоставление с Fenix не установлено,False
27-22-01,Rudder Trim Systems,178,27-6,F037,есть отдельная оценка — см. матрицу,False
27-22-02,Rudder Manual Trim Reset Function,178,27-6,,сопоставление с Fenix не установлено,False
27-22-03,Rudder Trim Position Indications,178,27-6,,сопоставление с Fenix не установлено,False
27-23-01,Rudder Travel Limiter Systems (Aircraft without Mod 163323/ MP P20703 (eRudder)),178,27-6,F038,есть отдельная оценка — см. матрицу,False
27-23-02,ECAM Rudder Travel Limiter Position Indication (Aircraft with Mod. 31040 and Mod 30368 and without Mod 163323/ MP P20703 (eRudder)),179,27-7,,сопоставление с Fenix не установлено,False
27-30-01,Elevator Indications on ECAM Flight Control Page,179,27-7,,сопоставление с Fenix не установлено,False
27-34-02,Elevator Servo Control Position Transducers,179,27-7,,сопоставление с Fenix не установлено,False
27-40-01,ECAM Pitch Trim Position Indication,179,27-7,,сопоставление с Fenix не установлено,False
27-44-01,Stabilizer Actuator Electrical Motors,179,27-7,,сопоставление с Fenix не установлено,False
27-44-02,Pitch Trim Hydraulic System Pressure Indication Symbol on ECAM F/CTL Page,179,27-7,,сопоставление с Fenix не установлено,False
27-51-01,Slat/Flap Control Computer (SFCC),180; 181; 182,27-8; 27-9; 27-10,F039; F040,есть отдельная оценка — см. матрицу,False
27-51-02,Flap Wing Tip Brake Solenoids,182,27-10,,сопоставление с Fenix не установлено,False
27-54-01,Flap Hydraulic Motors,182,27-10,,сопоставление с Fenix не установлено,False
27-54-02,Flap PCU Valve Blocks,183,27-11,,сопоставление с Fenix не установлено,False
27-64-01,Spoiler Surfaces,183; 184; 185; 186; 187; 188; 189; 190,27-11; 27-12; 27-13; 27-14; 27-15; 27-16; 27-17; 27-18,,сопоставление с Fenix не установлено,False
27-64-02,Load Alleviation Function (LAF) (A320-200 without Mod. 26334 or 26335),190,27-18,,сопоставление с Fenix не установлено,False
27-64-03,LAF Accumulators (A320-200 without Mod. 26334 or 26335),190,27-18,,сопоставление с Fenix не установлено,False
27-64-04,Spoilers Hydraulic System Pressure Indication Symbol on F/CTL Page,190,27-18,,сопоставление с Fenix не установлено,False
27-64-05,LAF DEGRADED Caution on ECAM EWD (A321neo XLR),190,27-18,F114,есть отдельная оценка — см. матрицу,False
27-81-01,Slat Wing Tip Brakes Solenoids,190,27-18,,сопоставление с Fenix не установлено,False
27-84-01,Slats Hydraulic Motors,191,27-19,,сопоставление с Fenix не установлено,False
27-84-02,Slat PCU Valve Blocks,191,27-19,,сопоставление с Fenix не установлено,False
27-92-01,Speedbrake Control System,192,27-20,,сопоставление с Fenix не установлено,False
27-92-02,Ground Spoiler Control System,192; 193,27-20; 27-21,,сопоставление с Fenix не установлено,False
27-92-05,Spoiler/Speedbrake Indications on ECAM F/CTL and Wheel Page,193,27-21,,сопоставление с Fenix не установлено,False
27-92-06,Side Stick Dual Input Warning System,193,27-21,,сопоставление с Fenix не установлено,False
27-92-07,STICK SENSOR FAULT Caution on ECAM EWD (A321neo XLR),193,27-21,F115,есть отдельная оценка — см. матрицу,False
27-92-11,STEEP APPR pb Switch (With Mod. 35542),193,27-21,,сопоставление с Fenix не установлено,False
27-93-01,Elevator Aileron Computers (ELAC),194; 195,27-22; 27-23,F041; F042,есть отдельная оценка — см. матрицу,False
27-93-02,ELAC pb Switch,196,27-24,,сопоставление с Fenix не установлено,False
27-93-03,ECAM ELAC Indications,196,27-24,,сопоставление с Fenix не установлено,False
